iter	Passed	Remaining
0	149	148942
1	149	74789
2	150	50016
3	151	37645
4	151	30194
5	152	25246
6	153	21707
7	153	19049
8	154	16985
9	154	15337
10	155	14002
11	156	12885
12	157	11940
13	158	11133
14	159	10443
15	159	9824
16	160	9274
17	177	9685
18	178	9209
19	179	8777
20	179	8383
21	180	8024
22	181	7696
23	181	7392
24	182	7116
25	183	6859
26	183	6619
27	184	6400
28	185	6194
29	185	5999
30	186	5819
31	187	5658
32	188	5514
33	189	5376
34	189	5235
35	190	5103
36	191	4980
37	192	4861
38	192	4749
39	193	4641
40	194	4538
41	194	4441
42	195	4348
43	195	4257
44	196	4172
45	197	4092
46	197	4012
47	198	3937
48	199	3863
49	199	3794
50	200	3728
51	201	3667
52	201	3609
53	203	3557
54	204	3506
55	204	3454
56	205	3403
57	206	3353
58	207	3305
59	207	3256
60	208	3209
61	209	3165
62	209	3121
63	210	3079
64	211	3037
65	211	2996
66	212	2956
67	212	2918
68	213	2881
69	214	2845
70	214	2811
71	215	2780
72	216	2749
73	217	2724
74	218	2694
75	219	2668
76	220	2638
77	220	2610
78	221	2582
79	222	2554
80	222	2527
81	223	2501
82	223	2472
83	224	2448
84	225	2424
85	225	2399
86	226	2376
87	227	2353
88	227	2330
89	228	2308
90	229	2288
91	229	2266
92	230	2246
93	230	2226
94	231	2207
95	232	2193
96	233	2175
97	234	2159
98	235	2141
99	236	2124
100	236	2108
101	237	2091
102	238	2074
103	238	2057
104	239	2040
105	240	2024
106	240	2008
107	241	1993
108	241	1978
109	242	1962
110	243	1948
111	243	1933
112	244	1919
113	245	1905
114	245	1890
115	246	1877
116	247	1864
117	248	1854
118	249	1844
119	249	1832
120	250	1820
121	251	1807
122	251	1794
123	252	1783
124	253	1771
125	253	1760
126	254	1747
127	254	1736
128	255	1724
129	255	1712
130	256	1701
131	256	1689
132	257	1678
133	258	1668
134	258	1658
135	259	1647
136	259	1637
137	260	1627
138	261	1617
139	261	1607
140	262	1599
141	263	1590
142	264	1583
143	265	1575
144	265	1566
145	266	1558
146	266	1549
147	267	1540
148	268	1531
149	268	1523
150	269	1515
151	270	1506
152	270	1498
153	271	1490
154	271	1482
155	272	1474
156	273	1466
157	273	1458
158	274	1451
159	274	1443
160	275	1435
161	276	1427
162	276	1420
163	278	1417
164	278	1411
165	279	1405
166	280	1400
167	281	1393
168	281	1386
169	282	1379
170	283	1373
171	283	1366
172	284	1360
173	285	1353
174	285	1347
175	286	1340
176	286	1333
177	287	1327
178	287	1320
179	288	1314
180	289	1307
181	289	1301
182	290	1295
183	290	1289
184	291	1283
185	292	1278
186	293	1275
187	294	1271
188	295	1267
189	296	1262
190	296	1257
191	297	1252
192	298	1247
193	298	1241
194	299	1236
195	300	1231
196	300	1226
197	301	1220
198	301	1215
199	302	1209
200	303	1204
201	303	1199
202	304	1194
203	304	1188
204	305	1184
205	305	1179
206	306	1174
207	307	1169
208	308	1165
